Hora,T_llegadas,Tasa_media_llegadas,Duracion_servicio,Tasa_media_ servicio,Utilizacion,Lq,Wq,L,W,P0
7:00 am a 7:59 am,24.39,147.63,50,1.2,123.03,0,0,123.03,0.833,3.73E-54
8:00 am a 8:59 am,17.04,211.33,71.2,0.84,250.78,0,0,250.78,1.187,1.24E-109
9:00 am a 9:59 am,25.4,141.73,87.31,0.69,206.24,0,0,206.24,1.455,2.70E-90
10:00 am a 10:59 am,26.94,133.66,89.79,0.67,200.01,0,0,200.01,1.497,1.37E-87
11:00 am a 11:59 am,23.93,150.44,78.61,0.76,197.1,0,0,197.1,1.31,2.53E-86
12:00 pm a 12:59 pm,52.48,68.6,77.23,0.78,88.3,0,0,88.3,1.287,4.51E-39
1:00 pm a 1:59 pm,27.54,130.72,74.84,0.8,163.05,0,0,163.05,1.247,1.55E-71
2:00 pm a 2:59 pm,26.22,137.3,46.68,1.29,106.82,0,0,106.82,0.778,4.08E-47
3:00 pm a 3:59 pm,25.21,142.83,52.54,1.14,125.07,0,0,125.07,0.876,4.83E-55
4:00 pm a 4:59 pm,30.57,117.76,53.27,1.13,104.55,0,0,104.55,0.888,3.93E-46
5:00 pm a 6:00 pm,17.22,209.12,59.91,1,208.81,0,0,208.81,0.999,2.09E-91
6:00 pm a 7:00 pm,25.07,143.63,34,1.765,81.39,0,0,81.39,0.567,4.51E-36
